,DATA,ATIVO,CORRETORA,OPERACAO,QTD,  VALOR UNITARIO, SUB-TOTAL, TX LIQUIDAÇÃO, EMOLUMENTOS, CORRETAGEM, TOTAL CUSTOS, I.R.R.F.,TOTAL,,MONTANTE,HIST. QTD,R$ MEDIO,RESULTADO,DURATION
,18-jan.-18,BOVA11,CLEAR,COMPRA,10," R$ 78,220 "," R$ 782,20 ","0,2100","0,0300","0,8700","1,1100","R$0,00","R$783,31",,"783,31",10,"78,33","0,00",
,2-fev.-18,BOVA11,CLEAR,VENDA,10," R$ 81,240 "," R$ 812,40 ","0,2200","0,0400","0,8700","1,1300","R$0,04","R$811,27",,"0,00",0,"0,00","27,96",
,19-mar.-18,TIET11,CLEAR,COMPRA,100," R$ 12,610 "," R$ 1 261,00 ","0,3457","0,0587","0,5402","0,9446","R$0,00","R$1 261,94",,"1 261,94",100,"12,62","0,00",
,19-mar.-18,MPLU3,CLEAR,COMPRA,100," R$ 30,990 "," R$ 3 099,00 ","0,8497","0,1441","1,3276","2,3214","R$0,00","R$3 101,32",,"3 101,32",100,"31,01","0,00",
,19-mar.-18,TAEE11,CLEAR,COMPRA,100," R$ 20,600 "," R$ 2 060,00 ","0,5648","0,0958","0,8825","1,5431","R$0,00","R$2 061,54",,"2 061,54",100,"20,62","0,00",
,19-mar.-18,TUPY3,CLEAR,COMPRA,100," R$ 17,500 "," R$ 1 750,00 ","0,4798","0,0814","0,7497","1,3109","R$0,00","R$1 751,31",,"1 751,31",100,"17,51","0,00",
,20-mar.-18,BBSE3,CLEAR,COMPRA,100," R$ 28,150 "," R$ 2 815,00 ","0,7721","0,1305","1,4301","2,3327","R$0,00","R$2 817,33",,"2 817,33",100,"28,17","0,00",
,20-mar.-18,ENBR3,CLEAR,COMPRA,100," R$ 13,450 "," R$ 1 345,00 ","0,3689","0,0624","0,6833","1,1146","R$0,00","R$1 346,11",,"1 346,11",100,"13,46","0,00",
,20-mar.-18,WIZS3,CLEAR,COMPRA,100," R$ 10,170 "," R$ 1 017,00 ","0,2790","0,0471","0,5167","0,8428","R$0,00","R$1 017,84",,"1 017,84",100,"10,18","0,00",
,21-mar.-18,ABCB4,CLEAR,COMPRA,47," R$ 18,140 "," R$ 852,58 ","0,2300","0,0300","0,8700","1,1300","R$0,00","R$853,71",,"853,71",47,"18,16","0,00",
,9-abr.-18,BOVA11,CLEAR,COMPRA,10," R$ 80,500 "," R$ 805,00 ","0,2200","0,0300","0,8700","1,1200","R$0,00","R$806,12",,"806,12",10,"80,61","0,00",
,12-abr.-18,BOVA11,CLEAR,VENDA,10," R$ 82,600 "," R$ 826,00 ","0,2200","0,0400","0,8700","1,1300","R$0,04","R$824,87",,"0,00",0,"0,00","18,75",
,30-abr.-18,BIDI4,CLEAR,COMPRA,168," R$ 18,500 "," R$ 3 108,00 ","0,0000","0,0000","0,0000","0,0000","R$0,00","R$3 108,00",,"3 108,00",168,"18,50","0,00",
,14-mai.-18,BIDI4,CLEAR,COMPRA,32," R$ 18,300 "," R$ 585,60 ","0,1600","0,0200","0,8700","1,0500","R$0,00","R$586,65",,"3 694,65",200,"18,47","0,00",
,17-mai.-18,ABCB4,CLEAR,COMPRA,53," R$ 16,800 "," R$ 890,40 ","0,2400","0,0400","0,8700","1,1500","R$0,00","R$891,55",,"1 745,26",100,"17,45","0,00",
,30-mai.-18,WIZS3,CLEAR,COMPRA,100," R$ 7,700 "," R$ 770,00 ","0,2100","0,0300","0,8700","1,1100","R$0,00","R$771,11",,"1 788,95",200,"8,94","0,00",
,27-jul.-18,ABCB4,CLEAR,COMPRA,3," R$ 3,500 "," R$ 10,50 ","0,0000","0,0000","1,1343","1,1343","R$0,00","R$9,37",,"1 754,63",103,"17,04","0,00",
,27-jul.-18,BIDI4,CLEAR,SUBSCRICAO,1," R$ 5,700 "," R$ 5,70 ","0,0000","0,0000","0,6157","0,6157","R$0,00","R$5,08",,"0,00",200,"0,00","5,08",
,21-jan.-19,PCAR4,CLEAR,COMPRA,6," R$ 88,950 "," R$ 533,70 ","0,1444","0,0222","0,0000","0,1666","R$0,00","R$533,87",,"533,87",6,"88,98","0,00",
,21-jan.-19,MRVE3,CLEAR,COMPRA,100," R$ 13,880 "," R$ 1 388,00 ","0,3756","0,0578","0,0000","0,4334","R$0,00","R$1 388,43",,"1 388,43",100,"13,88","0,00",
,28-jan.-19,VALE3,CLEAR,COMPRA,10," R$ 43,150 "," R$ 431,50 ","0,1100","0,0100","0,0000","0,1200","R$0,00","R$431,62",,"431,62",10,"43,16","0,00",
,29-jan.-19,ENBR3,CLEAR,COMPRA,39," R$ 16,640 "," R$ 648,96 ","0,1700","0,0200","0,0000","0,1900","R$0,00","R$649,15",,"1 995,26",139,"14,35","0,00",
,1-abr.-19,MPLU3,CLEAR,VENDA,100," R$ 26,840 "," R$ 2 684,00 ","0,7300","0,1800","0,0000","0,9100","R$0,13","R$2 683,09",,"0,00",0,"0,00","-418,23",
,30-mai.-19,MOVI3,CLEAR,COMPRA,100," R$ 12,860 "," R$ 1 286,00 ","0,3500","0,0500","0,0000","0,4000","R$0,00","R$1 286,40",,"1 286,40",100,"12,86","0,00",
,31-mai.-19,VALE3,CLEAR,VENDA,10," R$ 49,320 "," R$ 493,20 ","0,1300","0,0200","0,0000","0,1500","R$0,02","R$493,05",,"0,00",0,"0,00","61,43",
,4-jun.-19,BRKM5,CLEAR,COMPRA,29," R$ 34,230 "," R$ 992,67 ","0,2700","0,0400","0,0000","0,3100","R$0,00","R$992,98",,"992,98",29,"34,24","0,00",
,13-jun.-19,CIEL3,CLEAR,COMPRA,200," R$ 6,620 "," R$ 1 324,00 ","0,3614","0,0552","0,0000","0,4166","R$0,00","R$1 324,42",,"1 324,42",200,"6,62","0,00",
,13-jun.-19,VULC3,CLEAR,COMPRA,200," R$ 6,570 "," R$ 1 314,00 ","0,3586","0,0548","0,0000","0,4134","R$0,00","R$1 314,41",,"1 314,41",200,"6,57","0,00",
,21-jun.-19,ENEV3,CLEAR,COMPRA,50," R$ 23,570 "," R$ 1 178,50 ","0,3213","0,0476","0,0000","0,3688","R$0,00","R$1 178,87",,"1 178,87",50,"23,58","0,00",
